iter	Passed	Remaining
0	1	134
1	2	118
2	3	110
3	4	111
4	5	107
5	6	104
6	7	102
7	8	99
8	9	97
9	10	96
10	11	94
11	12	92
12	13	91
13	14	90
14	15	89
15	16	87
16	17	87
17	18	86
18	19	84
19	20	83
20	21	82
21	22	81
22	23	80
23	24	78
24	25	77
25	26	76
26	27	75
27	29	74
28	30	73
29	31	72
30	32	72
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	42	59
42	43	58
43	44	57
44	46	56
45	47	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	24
76	80	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
