iter	Passed	Remaining
0	1	1859
1	5	2762
2	7	2426
3	12	3144
4	13	2739
5	15	2487
6	19	2781
7	21	2628
8	22	2505
9	26	2585
10	27	2473
11	37	3097
12	39	2971
13	40	2862
14	41	2748
15	43	2689
16	46	2669
17	48	2651
18	52	2696
19	53	2630
20	54	2557
21	56	2527
22	58	2484
23	62	2523
24	66	2583
25	68	2549
26	69	2514
27	71	2481
28	72	2434
29	82	2673
30	84	2647
31	86	2618
32	87	2570
33	89	2541
34	91	2518
35	98	2637
36	100	2628
37	102	2587
38	103	2547
39	105	2524
40	107	2507
41	113	2594
42	116	2584
43	117	2553
44	118	2519
45	120	2501
46	122	2493
47	130	2579
48	131	2553
49	132	2525
50	134	2496
51	136	2480
52	138	2467
53	141	2472
54	142	2451
55	143	2423
56	145	2400
57	147	2399
58	155	2485
59	158	2486
60	160	2466
61	161	2440
62	162	2416
63	169	2483
64	172	2483
65	174	2470
66	175	2447
67	177	2426
68	178	2403
69	187	2492
70	189	2473
71	190	2454
72	191	2433
73	192	2410
74	193	2388
75	195	2377
76	199	2388
77	201	2378
78	202	2363
79	204	2346
80	205	2332
81	207	2323
82	208	2299
83	209	2288
84	212	2284
85	213	2273
86	215	2259
87	216	2247
88	217	2230
89	218	2212
90	219	2196
91	220	2181
92	223	2182
93	226	2180
94	227	2165
95	228	2151
96	229	2139
97	231	2126
98	232	2112
99	233	2098
100	234	2084
101	235	2071
102	236	2058
103	238	2054
104	239	2045
105	241	2038
106	242	2026
107	243	2014
108	245	2004
109	246	1993
110	247	1982
111	248	1973
112	250	1963
113	251	1957
114	254	1958
115	255	1950
116	256	1939
117	258	1932
118	259	1921
119	260	1909
120	261	1901
121	262	1891
122	263	1881
123	264	1871
124	265	1861
125	268	1865
126	269	1855
127	271	1847
128	272	1840
129	273	1831
130	274	1821
131	275	1813
132	277	1806
133	278	1797
134	279	1788
135	280	1780
136	281	1773
137	284	1777
138	285	1769
139	287	1763
140	288	1756
141	288	1745
142	290	1738
143	291	1732
144	292	1724
145	293	1716
146	294	1709
147	295	1701
148	297	1699
149	299	1697
150	300	1690
151	302	1685
152	303	1678
153	304	1671
154	305	1665
155	306	1658
156	307	1651
157	308	1645
158	310	1642
159	315	1654
160	316	1648
161	318	1646
162	319	1641
163	320	1634
164	321	1627
165	322	1621
166	323	1614
167	324	1609
168	325	1602
169	328	1603
170	329	1598
171	331	1593
172	332	1590
173	333	1584
174	334	1578
175	335	1572
176	337	1567
177	338	1561
178	339	1554
179	340	1549
180	341	1544
181	343	1544
182	344	1539
183	345	1534
184	347	1529
185	348	1525
186	349	1520
187	350	1515
188	352	1511
189	353	1506
190	354	1501
191	355	1496
192	358	1497
193	359	1493
194	360	1488
195	362	1485
196	363	1480
197	364	1475
198	365	1470
199	366	1465
200	367	1460
201	368	1455
202	369	1450
203	370	1445
204	372	1445
205	374	1441
206	375	1437
207	376	1434
208	377	1429
209	378	1424
210	380	1421
211	381	1416
212	382	1412
213	383	1407
214	384	1402
215	385	1397
216	388	1402
217	389	1398
218	391	1395
219	392	1391
220	393	1387
221	394	1382
222	395	1379
223	397	1375
224	398	1372
